Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031230381988,800000031230270278,224,,CREDIT,Martina,Martina,4.00,36.06,,10/26/25 1:35 PM,10/26/25 1:33 PM
800000031230571324,800000031229002527,213,17,CASH,Sami,AM,0.00,21.93,Front Box Cash Drawer,10/26/25 1:38 PM,10/26/25 1:12 PM
800000031230626587,800000031230415228,225,,CASH,Martina,Martina,0.00,7.57,Drive Thru Cash Drawer,10/26/25 1:39 PM,10/26/25 1:35 PM
800000031230856886,800000031230829765,226,,CASH,Martina,Martina,0.00,5.14,Drive Thru Cash Drawer,10/26/25 1:43 PM,10/26/25 1:42 PM
800000031230870193,800000031230763936,220,,CASH,Martina,Martina,0.00,9.13,Drive Thru Cash Drawer,10/26/25 1:43 PM,10/26/25 1:41 PM
800000031231050358,800000031229869702,217,,CREDIT,AM,AM,0.00,10.81,,10/26/25 1:46 PM,10/26/25 1:26 PM
800000031231093331,800000031228983832,212,7,CREDIT,samantha,AM,2.00,17.48,,10/26/25 1:47 PM,10/26/25 1:12 PM
800000031231170438,800000031230829766,227,,CASH,Martina,Martina,0.00,10.80,Drive Thru Cash Drawer,10/26/25 1:48 PM,10/26/25 1:42 PM
800000031231268991,800000031231114399,228,,CASH,Martina,Martina,0.00,17.14,Drive Thru Cash Drawer,10/26/25 1:50 PM,10/26/25 1:47 PM
,,,,TIP_OUT,Martina,Martina,-43.02,0.00,Drive Thru Cash Drawer,10/26/25 1:52 PM,10/26/25 1:52 PM
,,,,CLOSE_OUT_EXACT,Martina,,0.00,0.00,Drive Thru Cash Drawer,10/26/25 1:52 PM,10/26/25 1:52 PM
800000031231615750,800000031231236423,231,,CREDIT,AM,AM,0.00,2.15,,10/26/25 1:56 PM,10/26/25 1:49 PM
800000031231650917,800000031231184358,230,,CASH,AM,AM,0.00,21.05,Front Box Cash Drawer,10/26/25 1:57 PM,10/26/25 1:48 PM
800000031231666415,800000031231342520,233,,CREDIT,AM,AM,0.00,27.23,,10/26/25 1:57 PM,10/26/25 1:51 PM
800000031231717869,800000031229298713,215,20,CASH,samantha,AM,0.00,46.87,Front Box Cash Drawer,10/26/25 1:58 PM,10/26/25 1:17 PM
800000031231781556,800000031231531133,235,,CASH,AM,AM,0.00,21.62,Front Box Cash Drawer,10/26/25 1:59 PM,10/26/25 1:55 PM
800000031231972461,800000031231701473,238,,CREDIT,AM,AM,0.00,13.44,,10/26/25 2:02 PM,10/26/25 1:58 PM
800000031232030894,800000031231212562,229,,CREDIT,AM,AM,0.00,21.95,,10/26/25 2:03 PM,10/26/25 1:49 PM
